[210.00s - 234.80s]  Okay.
[234.80s - 236.80s]  Can you hear me?
[236.80s - 240.80s]  Yep. Good evening, professor.
[240.80s - 250.80s]  Okay. Thank you. Thank you. Good evening. So please, if you can, you know, mute your mics. I mean, if you want to talk, of course, you know, feel free to go ahead and ask me a question.
[250.80s - 256.80s]  Okay, so let us get started.
[256.80s - 259.80s]  On this class.
[259.80s - 266.80s]  This is EC 4710.
[266.80s - 270.80s]  Computer hardware design, right?
[270.80s - 281.80s]  As you can see in the screen right you have, you know, my contact information. I have office hours from two to four. You know they are virtual, of course, and
[281.80s - 290.80s]  But of course, feel free to request any other time and I'll try my best to work around your schedule.
[290.80s - 305.80s]  Lectures, Tuesday and Thursday, and we have synchronous live sessions on Thursdays, right? And on Tuesdays, we have asynchronous sessions, which are just videos that I post.
[305.80s - 317.80s]  Okay, the idea of a synchronous session is to try to focus, you know, more on the examples, right, rather than on the theory. I guess the exception would be this first lecture.
[317.80s - 321.80s]  You have the TA's there, by the way, they might change by the way in the near future.
[321.80s - 326.80s]  You know, we're still figuring out which ones our TA's are.
[326.80s - 340.80s]  There are four laboratory sections in this class, by the way. Only one of them is online. I believe there is one where some students might be confused about, you know, whether it is online or not.
[340.80s - 353.80s]  But only the 007 or the 15707, that is the only one that is actually online. All the other ones are face to face.
[353.80s - 364.80s]  OU has determined that, you know, we have to wait until the third week to have face to face labs.
[364.80s - 367.80s]  And I hope that is the case.
[367.80s - 378.80s]  I have a suspicion that, you know, that might not be the case. And unfortunately, you know, it is very likely that the entire semester, even the labs will be online.
[378.80s - 382.80s]  Okay, that's very unfortunate.
[382.80s - 389.80s]  But I mean, let's hope for the best, right? Let's see what happens in two weeks.
[389.80s - 396.80s]  I do have a question, Professor, on the labs. Is there a limit on the online labs?
[396.80s - 398.80s]  What do you mean? What do you mean by a limit?
[398.80s - 403.80s]  Is there a limit to how many students can sign up per that lab?
[403.80s - 408.80s]  No, no, I mean, 10. I mean, 10. I mean, yeah.
[408.80s - 417.80s]  But it's not a big deal. I mean, in this class, we do not have a lot of students, unlike in other classes. So, you know, I think it's okay.
[417.80s - 419.80s]  Yeah, I think.
[419.80s - 425.80s]  Thank you. If we get 10, you know, we will be lucky. I think it will be less than that for sure.
[425.80s - 427.80s]  Thank you.
[427.80s - 447.80s]  Okay, so, like I said, let's hope for the best. Right. I hope, you know, this works out because really, I mean, you know, in my experience with all the classes, right, especially with computer hardware design, I mean, online labs don't work really well.
[447.80s - 452.80s]  There's a lot that is missing there.
[452.80s - 457.80s]  Okay, so the course materials, right.
[457.80s - 469.80s]  All of the course material will be posted in Moodle. Those of you who took EC2700 with me know how this works already. I will just post the notes right online.
[469.80s - 484.80s]  That's all that you will need for this class. Okay. That will be a Moodle. And just as a backup resource, you know, I will also post the material in that link that you can see right there, even though right now, you know, it's still not online.
[484.80s - 485.80s]  It will be soon.
[485.80s - 494.80s]  And most importantly, in this class, you will also need to go over the VHEL tutorial, right.
[494.80s - 503.80s]  I can show it to you. Again, those of you who took EC2700 with me know this very well.
[503.80s - 519.80s]  But in this class, we're going to focus on, you know, the late, the, you know, the last units, right, in seven, eight and nine. Okay. We're not focused on more VHEL in this class.
[519.80s - 529.80s]  This class is more about design than actual theory. Okay. So again, textbooks, like you know, in my classes, I usually do not require a textbook.
[529.80s - 543.80s]  Okay. Although if you want to get a textbook, that's fine. You know, the one that I recommend for this class is the Poncho, right, because it gives you a lot of examples, right, on actual, you know, actual useful digital systems.
[543.80s - 547.80s]  Okay.
[547.80s - 555.80s]  There are other books too, but you know, for the most part, this book that you will actually find useful. I mean, if you really want to design pure hardware.
[555.80s - 562.80s]  These two are mostly for the theory, but you know, it will be covered already, by the way. Okay.
[562.80s - 576.80s]  The course objectives, I mean, pretty straightforward, right. Again, we have to cover combinational sequential components in VHDL, describe how we can connect them together to implement a digital system, design what we call custom architecture, right,
[576.80s - 590.80s]  to interact with what we call external peripherals, and then design what we call the special purpose processors. That is just a fancy name, by the way, for digital systems. Okay.
[590.80s - 603.80s]  Build a test bench for a digital system, a proper test bench this time, and then simulation. Okay. We will do it over and over. Okay. And then of course working teams, right, to complete a final project.
